S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
176,CHC Zaffergadh,Government-TVVP,Jangoan,Zaffergadh,-,N.Srinu (9704808030),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
177,CMR Hospital,Corporate,Medchal-Malkajgiri,Medchal,Medchal,Sudheer T(9704886795),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M4 - Pediatrics; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M14 - Thalassemia
178,CVVM Hospital,Corporate,Karimnagar,Karimnagar,Karimnagar,Md.Vaziuddin (9912700393),S1 - General Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M5 - Cardiology; M7 - Neurology
179,"Cantonment General Hospital, Bollaram",Government,Medchal-Malkajgiri,Alwal,Ghmc,Ampati Swamy(9949664162),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S12 - Medical Oncology; S13 - Radiation Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
180,"Care Hospitals, Malakpet",Corporate,Hyderabad,Saidabad,Ghmc,Anitha Anitha (9010222114),S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S15 - Poly Trauma; M5 - Cardiology; M6 - Nephrology; M7 - Neurology
181,Chakravarthy Hospitals Surgical and Laparoscopic Centre,Corporate,Hanumakonda,Hanamkonda,Warangal,Adavelli . Madhukar (9908384740),S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma
182,Chalmeda Anand Rao Institute of Medical Sciences,Corporate,Karimnagar,Karimnagar,Karimnagar,Mateti Srinivas (9703873807); Shravan Kallepalli (9849783452); Sogala Satheesh Kumar (9603985311); Bandari Venkanna (9908281835); Gurram Ravi (9676534534),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S17 - Prostheses; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M15 - Medical Oncology; M16 - Radiation Oncology
183,Chrome Hospital,Corporate,Adilabad,Adilabad Urban,Adilabad,Jalda.Sujatha (7989362733); Ratnajade.Vimala (9515445846),S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma
184,Citizens Speciality Hospitals (A Unit of Artmed Healthcare Pvt Ltd),Corporate,Rangareddy,Serilingampalli,Ghmc,C.Srinivas (8106932678); S.Narsimulu (9959557056),S7 - Cardiac And Cardiothoracic Surgery; S11 - Surgical Oncology; M5 - Cardiology; M15 - Medical Oncology; M16 - Radiation Oncology
185,City Multi Speciality Hospital,Corporate,Nizamabad,Nizamabad (South),Nizamabad,Macharla Shankar (9705102396),S1 - General Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine; M4 - Pediatrics; M6 - Nephrology
186,Clear Vision Eye Hospital,Corporate,Hyderabad,Himayathnagar,Ghmc,S. Komala(9652301350),S3 - Ophthalmology Surgery
187,Continental Hospitals Limited,Corporate,Rangareddy,Serilingampalli,Ghmc,C.Srinivas (8106932678),S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S15 - Poly Trauma; M5 - Cardiology; M6 - Nephrology; S19 - Organ Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
188,Cure Well Hospital,Corporate,Hanumakonda,Hanamkonda,Warangal,V.Suvarna (9052785246),S1 - General Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma; M2 - General Medicine
189,Devendar Reddy Super Speciality Hospital,Corporate,Nirmal,Nirmal,Nirmal,Sunkari Mukesh Kumar(9440528737); Karem.Anasuya (8333816516); Mudapally Ashwini (7702960412); Keshitty Rajitha (9493532931),S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S15 - Poly Trauma; M2 - General Medicine; M4 - Pediatrics; M5 - Cardiology; M7 - Neurology; M15 - Medical Oncology
190,Devi Priya Hospital,Corporate,Adilabad,Adilabad Urban,Adilabad,Kursingh Beem Rao (9110767711),S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma
191,District Hospital King Koti,Government-TVVP,Hyderabad,Nampally,Ghmc,Dr B Shiva Prasad (8885923458); Mis Rama(8074418478); Chinthala Vijaya (9618703074); Nuzahat Feroz (7337260552),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
192,"District Hospital Kingkoti Extention1 (Gurunanak Medical Center, Secundrabad)",Government,Hyderabad,Secunderabad,Ghmc,Vara Lakshmi(9000246208),M6 - Nephrology
193,"District Hospital Kingkoti Extention3 (Chella Hospitals,Dharan Karam Road, Ameerpet)",Government,Hyderabad,Ameerpet,Ghmc,E. Swamy(9542236096); Makam Anuradha (9866728357),M6 - Nephrology
194,"District Hospital Kingkoti Extention4 (Indo US Hospital, Jamia Masjid, New Malakpet)",Government,Hyderabad,Amberpet,Ghmc,Abhijith Adhikam (8074135170); D.Prema Latha(9581133273); M.Swathi (6281558610),M6 - Nephrology
195,District Hospital Narayanpet,Government-DME,Narayanpet,Narayanpet,Narayanpet,A.Nagappa (9490143671); Bogam Rajesh Kumar (9000224642); Venkataiah (9849858219); K Suresh (9346479033); K Arun Kumar (9908234270),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
196,"Dr Agarwal Health Care Limited, Ameerpet",Corporate,Hyderabad,Khairthabad,Ghmc,Bagavatham Suneetha (9963614101); Chandi.Hymawathi (9573159509),S3 - Ophthalmology Surgery
197,Dr Bhoom Reddys Hospital,Corporate,Karimnagar,Karimnagar,Karimnagar,R.Latha (8106156953),S1 - General Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S14 - Plastic Surgery; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M8 - Pulmonology; M9 - Dermatology; M12 - Gastroenterology
198,Dr Gouda Ramesh ENT,Corporate,Hanumakonda,Hanamkonda,Warangal,Thota Ramakrishna (9030119626),S2 - Ent Surgery
199,Dr Hari Kishan Eye Care,Corporate,Hyderabad,Himayathnagar,Ghmc,Janaki S(7989390688),S3 - Ophthalmology Surgery
200,Dr Patnam Mahender Reddy Institute of Medical Sciences,Corporate,Rangareddy,Chevella,-,Ch.Prabhakar (9989867349); P.Narender Reddy (9989688085),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M6 - Nephrology; M8 - Pulmonology; M9 - Dermatology
201,"Dr Sharat Maxivision Eye Hospitals Llp, Warangal Urban",Corporate,Hanumakonda,Hanamkonda,Warangal,Swathi J(9177568484); Ch.Ramesh (9959259286),S3 - Ophthalmology Surgery
202,Drishti Eye Care Centre,Corporate,Hyderabad,Khairthabad,Ghmc,Kamatham Indirapriyadarshini (9346130829),S3 - Ophthalmology Surgery
203,Durga Bhai Deshmukh Hospital and Research Centre A Unit of Andhra Mahila Shaba,Corporate,Hyderabad,Amberpet,Ghmc,Mamidi Uma Maheswari (9490762979); Gulagattu Emima (7842232765),S1 - General Surgery; S2 - Ent Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; M1 - Critical Care; M2 - General Medicine; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M8 - Pulmonology; M9 - Dermatology; M12 - Gastroenterology; M15 - Medical Oncology; M16 - Radiation Oncology
204,"Durga Shankar Hospital, Miryalaguda",Corporate,Nalgonda,Miryalaguda,Miryalaguda,Budige Nagalaxmi (9542306214),S5 - Orthopedic Surgery And Procedures; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine
205,Ekashilaa Hospitals,Corporate,Hanumakonda,Hanamkonda,Warangal,Naresh N(9177998625); Praveen Kumar T(9849366510); Mohd.Abdul Mustafa (9390167606); P.Rambabu (9866702326),S1 - General Surgery; S5 - Orthopedic Surgery And Procedures; S7 - Cardiac And Cardiothoracic Surgery; S9 - Genito Urinary Surgeries; S15 - Poly Trauma; M2 - General Medicine; M5 - Cardiology; M6 - Nephrology; M7 - Neurology
206,"Fatima Hospital, Kalapatthar",Corporate,Hyderabad,Bandlaguda,Ghmc,Mohd Abdul Momin (9700174401),S1 - General Surgery; S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma; M2 - General Medicine
207,Gandhi Hospitals,Government-DME,Hyderabad,Secunderabad,Ghmc,Shankara Murthi (8520959502); Phani Kumari Phani Kumari(8977132508); S.Kalpana (8341508709); K.Vijay Kumar (9392493117); Sarola Prameela (7386932098); G.Sujatha (9059083224); Lakshmipriya Kandukuri (),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; S19 - Organ Transplantation Surgery; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
208,Ganga Hospitals,Corporate,Nizamabad,Armur,Armoor,Kolipyaka Sagar (9948762340),S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma
209,Geeta Orthopedic & Maternity Nursing Home,Corporate,Jagtial,Jagitial Rural,Jagtial,P.Rajeshwari (9502862386),S5 - Orthopedic Surgery And Procedures; S5 - Orthopedic Surgery And Procedures; S15 - Poly Trauma; S15 - Poly Trauma
210,Global Eye and Laser Hospital Pvt Ltd,Corporate,Medchal-Malkajgiri,Kukatpally,Ghmc,Jangili. Soujanya(9492457031),S3 - Ophthalmology Surgery
211,Government CD & TB hospital,Government-DME,Hanumakonda,Hanamkonda,Warangal,Dr M G Krishna Murthy(9618855302); Chennuri Gouthami(7993098112),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
212,Government ENT Hospital Koti,Government-DME,Hyderabad,Nampally,Ghmc,Thoomula Raju (9848774413); K. Radhadevi(9705353493); N. Saritha(9959480875); Dr.D.Ranganath Swamy (9059662240),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
213,Government General Hospital Asifabad,Government-DME,Komaram Bheem Asifabad,Asifabad,-,Kamde Sangarakshitha (8790225700); Md.Sulaman (9515654441); Jadav.Aravind (9704970665),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
214,Government General Hospital Bongir,Government-DME,Yadadri Bhuvanagiri,Bhongir,Bhongir,Mogulagani Katamaiah (9705064094); Gadamalla Indira (9959343939); Silveru Sabitha (9640617605); Gundu Srinivas (9948006529); Kothapeta Jyothi (9885334181); Chada Prasandala (9666921652); Bomma Suma A/O Kastoori Roopa (9951113400); Devulapalli Jyothi (9490489264),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
